Date,Open,High,Low,Close,Adj Close,Volume
2015-01-05,202.52,202.52,202.52,202.52,202.52,36301200
2015-01-06,197.83,197.83,197.83,197.83,197.83,36301200
2015-01-07,192.94,192.94,192.94,192.94,192.94,36301200
2015-01-08,191.76,191.76,191.76,191.76,191.76,36301200
2015-01-09,190.31,190.31,190.31,190.31,190.31,36301200
2015-01-12,186.43,186.43,186.43,186.43,186.43,36301200
2015-01-13,184.88,184.88,184.88,184.88,184.88,36301200
2015-01-14,183.18,183.18,183.18,183.18,183.18,36301200
2015-01-15,186.07,186.07,186.07,186.07,186.07,36301200
2015-01-16,186.11,186.11,186.11,186.11,186.11,36301200
2015-01-19,175.48,175.48,175.48,175.48,175.48,36301200
2015-01-20,178.08,178.08,178.08,178.08,178.08,36301200
2015-01-21,182.36,182.36,182.36,182.36,182.36,36301200
2015-01-22,181.23,181.23,181.23,181.23,181.23,36301200
2015-01-23,181.02,181.02,181.02,181.02,181.02,36301200
2015-01-26,182.8,182.8,182.8,182.8,182.8,36301200
2015-01-27,180.11,180.11,180.11,180.11,180.11,36301200
2015-01-28,177.47,177.47,177.47,177.47,177.47,36301200
2015-01-29,176.15,176.15,176.15,176.15,176.15,36301200
2015-01-30,177.18,177.18,177.18,177.18,177.18,36301200
2015-02-02,174.82,174.82,174.82,174.82,174.82,36301200
2015-02-03,178.37,178.37,178.37,178.37,178.37,36301200
2015-02-04,177.25,177.25,177.25,177.25,177.25,36301200
2015-02-05,174.05,174.05,174.05,174.05,174.05,36301200
2015-02-06,174.6,174.6,174.6,174.6,174.6,36301200
2015-02-09,184.3,184.3,184.3,184.3,184.3,36301200
2015-02-10,182.88,182.88,182.88,182.88,182.88,36301200
2015-02-11,183.15,183.15,183.15,183.15,183.15,36301200
2015-02-12,183.57,183.57,183.57,183.57,183.57,36301200
2015-02-13,182.49,182.49,182.49,182.49,182.49,36301200
2015-02-16,183.31,183.31,183.31,183.31,183.31,36301200
2015-02-17,182.22,182.22,182.22,182.22,182.22,36301200
2015-02-25,183.96,183.96,183.96,183.96,183.96,36301200
2015-02-26,186.64,186.64,186.64,186.64,186.64,36301200
2015-02-27,191.05,191.05,191.05,191.05,191.05,36301200
2015-03-02,190.73,190.73,190.73,190.73,190.73,36301200
2015-03-03,185.95,185.95,185.95,185.95,185.95,36301200
2015-03-04,187.19,187.19,187.19,187.19,187.19,36301200
2015-03-05,185.52,185.52,185.52,185.52,185.52,36301200
2015-03-06,183.62,183.62,183.62,183.62,183.62,36301200
2015-03-09,191.56,191.56,191.56,191.56,191.56,36301200
2015-03-10,187.83,187.83,187.83,187.83,187.83,36301200
2015-03-11,191.98,191.98,191.98,191.98,191.98,36301200
2015-03-12,192.75,192.75,192.75,192.75,192.75,36301200
2015-03-13,189.91,189.91,189.91,189.91,189.91,36301200
2015-03-16,193.76,193.76,193.76,193.76,193.76,36301200
2015-03-17,196.77,196.77,196.77,196.77,196.77,36301200
